,零件号,日期,仓库,需求数量
377,6RD959801E,2016-04-14,1000-1,1
378,6RD959801E,2016-04-15,1000-1,1
379,6RD959801E,2016-04-18,1000-1,1
380,6RD959801E,2016-04-21,1000-1,1
381,6RD959801E,2016-04-25,1000-1,1
382,6RD959801E,2016-04-27,1000-1,1
383,6RD959801E,2016-05-03,1000-1,3
384,6RD959801E,2016-05-08,1000-1,2
385,6RD959801E,2016-05-09,1000-1,1
386,6RD959801E,2016-05-10,1000-1,1
387,6RD959801E,2016-05-11,1000-1,1
388,6RD959801E,2016-05-12,1000-1,1
389,6RD959801E,2016-05-13,1000-1,6
390,6RD959801E,2016-05-14,1000-1,7
391,6RD959801E,2016-05-15,1000-1,1
392,6RD959801E,2016-05-16,1000-1,12
393,6RD959801E,2016-05-17,1000-1,2
394,6RD959801E,2016-05-18,1000-1,4
395,6RD959801E,2016-05-19,1000-1,5
396,6RD959801E,2016-05-20,1000-1,4
397,6RD959801E,2016-05-22,1000-1,3
398,6RD959801E,2016-05-23,1000-1,10
399,6RD959801E,2016-05-24,1000-1,7
400,6RD959801E,2016-05-25,1000-1,3
401,6RD959801E,2016-05-26,1000-1,5
402,6RD959801E,2016-05-27,1000-1,7
403,6RD959801E,2016-05-29,1000-1,2
404,6RD959801E,2016-05-30,1000-1,12
405,6RD959801E,2016-05-31,1000-1,1
406,6RD959801E,2016-06-01,1000-1,4
407,6RD959801E,2016-06-02,1000-1,8
408,6RD959801E,2016-06-03,1000-1,11
409,6RD959801E,2016-06-05,1000-1,3
410,6RD959801E,2016-06-06,1000-1,20
411,6RD959801E,2016-06-07,1000-1,7
412,6RD959801E,2016-06-08,1000-1,7
413,6RD959801E,2016-06-10,1000-1,1
414,6RD959801E,2016-06-11,1000-1,3
415,6RD959801E,2016-06-12,1000-1,15
416,6RD959801E,2016-06-13,1000-1,9
417,6RD959801E,2016-06-14,1000-1,5
418,6RD959801E,2016-06-15,1000-1,4
419,6RD959801E,2016-06-16,1000-1,6
420,6RD959801E,2016-06-17,1000-1,8
421,6RD959801E,2016-06-19,1000-1,2
422,6RD959801E,2016-06-20,1000-1,10
423,6RD959801E,2016-06-21,1000-1,7
424,6RD959801E,2016-06-22,1000-1,11
425,6RD959801E,2016-06-23,1000-1,10
426,6RD959801E,2016-06-24,1000-1,6
427,6RD959801E,2016-06-26,1000-1,3
428,6RD959801E,2016-06-27,1000-1,23
429,6RD959801E,2016-06-28,1000-1,5
430,6RD959801E,2016-06-29,1000-1,9
431,6RD959801E,2016-06-30,1000-1,5
432,6RD959801E,2016-07-01,1000-1,13
433,6RD959801E,2016-07-02,1000-1,1
434,6RD959801E,2016-07-03,1000-1,2
435,6RD959801E,2016-07-04,1000-1,24
436,6RD959801E,2016-07-05,1000-1,15
437,6RD959801E,2016-07-06,1000-1,15
438,6RD959801E,2016-07-07,1000-1,9
439,6RD959801E,2016-07-08,1000-1,10
440,6RD959801E,2016-07-10,1000-1,4
441,6RD959801E,2016-07-11,1000-1,17
442,6RD959801E,2016-07-12,1000-1,11
443,6RD959801E,2016-07-13,1000-1,10
444,6RD959801E,2016-07-14,1000-1,6
445,6RD959801E,2016-07-15,1000-1,11
446,6RD959801E,2016-07-17,1000-1,7
447,6RD959801E,2016-07-18,1000-1,19
448,6RD959801E,2016-07-19,1000-1,15
449,6RD959801E,2016-07-20,1000-1,6
450,6RD959801E,2016-07-21,1000-1,4
451,6RD959801E,2016-07-22,1000-1,8
452,6RD959801E,2016-07-24,1000-1,3
453,6RD959801E,2016-07-25,1000-1,22
454,6RD959801E,2016-07-26,1000-1,14
455,6RD959801E,2016-07-27,1000-1,8
456,6RD959801E,2016-07-28,1000-1,5
457,6RD959801E,2016-07-29,1000-1,4
458,6RD959801E,2016-07-30,1000-1,1
459,6RD959801E,2016-07-31,1000-1,1
460,6RD959801E,2016-08-01,1000-1,18
461,6RD959801E,2016-08-02,1000-1,5
462,6RD959801E,2016-08-03,1000-1,11
463,6RD959801E,2016-08-04,1000-1,10
464,6RD959801E,2016-08-05,1000-1,7
465,6RD959801E,2016-08-07,1000-1,5
466,6RD959801E,2016-08-08,1000-1,13
467,6RD959801E,2016-08-09,1000-1,11
468,6RD959801E,2016-08-10,1000-1,19
469,6RD959801E,2016-08-11,1000-1,16
470,6RD959801E,2016-08-12,1000-1,11
471,6RD959801E,2016-08-13,1000-1,1
472,6RD959801E,2016-08-14,1000-1,3
473,6RD959801E,2016-08-15,1000-1,15
474,6RD959801E,2016-08-16,1000-1,7
475,6RD959801E,2016-08-17,1000-1,3
476,6RD959801E,2016-08-18,1000-1,14
477,6RD959801E,2016-08-19,1000-1,10
478,6RD959801E,2016-08-20,1000-1,2
479,6RD959801E,2016-08-21,1000-1,5
480,6RD959801E,2016-08-22,1000-1,23
481,6RD959801E,2016-08-23,1000-1,11
482,6RD959801E,2016-08-24,1000-1,10
483,6RD959801E,2016-08-25,1000-1,7
484,6RD959801E,2016-08-26,1000-1,5
485,6RD959801E,2016-08-28,1000-1,6
486,6RD959801E,2016-08-29,1000-1,19
487,6RD959801E,2016-08-30,1000-1,11
488,6RD959801E,2016-08-31,1000-1,8
489,6RD959801E,2016-09-01,1000-1,13
