"零件号","日期","需求数量","仓库","需求频次abc分类","价格abc分类","需求数量ABC分类","零件代码第四位","EOP","计划员"
"3CC945208A","20230201","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230109","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230108","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20231020","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20231020","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20231023","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230829","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230828","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230802","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230731","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230728","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230908","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230906","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230905","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230629","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230504","2","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230306","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20231018","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230727","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230614","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230619","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230618","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230617","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230616","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230711","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230710","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230709","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20231016","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20231015","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20231014","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20231014","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20231013","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20231013","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230820","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230722","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230608","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230609","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230911","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230913","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230912","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230809","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230507","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230507","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230312","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230213","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230817","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230814","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230816","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230717","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230425","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230529","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230316","1","1000-1","B","B","MIDDLE","9","","043"
