"PARTNUMBER","HOSTLOCID","ERDAT","KWMENG"
"零件代码","仓库","日期","预测值"
"11D941078C","1000-2","202309","4.027778"
"11D941078C","1000-2","202403","5.022222"
"11D941078C","1000-2","202404","5.022222"
"11D941078C","1000-2","202405","5.022222"
"3CC945208A","1000-1","202305","10.666667"
"3CC945208A","1000-1","202307","7"
"3CC945208A","1000-1","202311","7.533333"
"3CC945208A","5001","202402","7.583333"
"3CC945208A","5001","202408","7.583333"
"3CC945208A","6000","202310","5.666667"
"3CC945208A","6000","202408","5.666667"
"3CC945208A","6000","202409","5.666667"
"3CC945208A","8011","202309","2.2"
"3CC945208A","8011","202407","3.571429"
"3CC945208A","8012","202308","1.333333"
"3CC945208A","8013","202404","1.333333"
"3CC945208A","8015","202407","2.777778"
"3CC945208A","8022","202307","0.428571"
"3CC945208A","8022","202404","3.090909"
"3CC945208A","8022","202405","3.090909"
"6RD959801E","1000-1","201703","0.047619"
"6RD959801E","1000-1","201705","5.61039"
"6RD959801E","1000-1","201711","0.009524"
"6RD959801E","1000-1","201805","0"
"6RD959801E","1000-1","201812",""
"6RD959801E","1000-1","201906",""
"6RD959801E","1000-1","201911",""
"6RD959801E","1000-1","202007",""
"6RD959801E","1000-1","202008",""
"6RD959801E","1000-1","202103",""
"6RD959801E","1000-1","202108",""
"6RD959801E","1000-1","202307","156.25"
"6RD959801E","1000-1","202309","35.75"
"6RD959801E","1000-1","202407","111.03"
"6RD959801E","3001","201705","57.939543"
"6RD959801E","3001","201712","19.580645"
"6RD959801E","3001","201803","59.25"
"6RD959801E","3001","201804","70"
"6RD959801E","3001","201811","22.75"
"6RD959801E","3001","202008","1.999132"
"6RD959801E","3001","202101","5.321796"
"6RD959801E","3002","201810","0.5"
"6RD959801E","5001","201612","107.045662"
"6RD959801E","5001","201710","98.378177"
"6RD959801E","5001","201801","86.75"
"6RD959801E","5001","201805","192"
"6RD959801E","5001","201809","70.5"
"6RD959801E","5001","201810","72.25"
"6RD959801E","5001","201902","77.15"
"6RD959801E","5001","202003","20.629316"
"6RD959801E","5001","202005","57.165458"
